datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,duration,day_ahead_congestion_event,monitored_facility,contingency_facility
4/21/2021 3:00:00 AM,4/20/2021 11:00:00 PM,4/21/2021 4:00:00 AM,4/21/2021 12:00:00 AM,1,CRANBERY138 KV  CRA-JAC,CRANBERY138 KV  CRA-JAC,L500.Cranberry-WylieRidge
4/21/2021 3:00:00 AM,4/20/2021 11:00:00 PM,4/21/2021 4:00:00 AM,4/21/2021 12:00:00 AM,1,KEYSTONE230 KV  KEY-SHE,KEYSTONE230 KV  KEY-SHE,L500.Cabot-Keystone.5002
4/21/2021 3:00:00 AM,4/20/2021 11:00:00 PM,4/21/2021 4:00:00 AM,4/21/2021 12:00:00 AM,1,LINCOLN 115 KV  LIN-STR,LINCOLN 115 KV  LIN-STR,L500.Conastone-PeachBottom.5012
4/21/2021 1:00:00 AM,4/20/2021 9:00:00 PM,4/21/2021 2:00:00 AM,4/20/2021 10:00:00 PM,1,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/21/2021 1:00:00 AM,4/20/2021 9:00:00 PM,4/21/2021 3:00:00 AM,4/20/2021 11:00:00 PM,2,GRACETON230 KV  GRA-SAF,GRACETON230 KV  GRA-SAF,L500.Conastone-PeachBottom.5012
4/21/2021 12:00:00 AM,4/20/2021 8:00:00 PM,4/21/2021 2:00:00 AM,4/20/2021 10:00:00 PM,2,11 FISK 138 KV  TR72 12,11 FISK 138 KV  TR72 12,ACTUAL
4/21/2021 12:00:00 AM,4/20/2021 8:00:00 PM,4/21/2021 2:00:00 AM,4/20/2021 10:00:00 PM,2,BENTONHA138 KV  BEN-CRY1,BENTONHA138 KV  BEN-CRY1,345/138.Olive.T2
4/20/2021 8:00:00 PM,4/20/2021 4:00:00 PM,4/21/2021 4:00:00 AM,4/21/2021 12:00:00 AM,8,BAGLEY  230 KV  BAG-RAP5,BAGLEY  230 KV  BAG-RAP5,L500.Brighton-Conastone.5011
4/20/2021 5:00:00 PM,4/20/2021 1:00:00 PM,4/21/2021 12:00:00 AM,4/20/2021 8:00:00 PM,7,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,L138.Westwood-08NW_Tap-WLafyett
4/20/2021 4:00:00 PM,4/20/2021 12:00:00 PM,4/20/2021 7:00:00 PM,4/20/2021 3:00:00 PM,3,BAGLEY  230 KV  BAG-RAP5,BAGLEY  230 KV  BAG-RAP5,L500.Brighton-Conastone.5011
4/20/2021 2:00:00 PM,4/20/2021 10:00:00 AM,4/21/2021 12:00:00 AM,4/20/2021 8:00:00 PM,10,GRACETON230 KV  GRA-SAF,GRACETON230 KV  GRA-SAF,L500.Conastone-PeachBottom.5012
4/20/2021 2:00:00 PM,4/20/2021 10:00:00 AM,4/20/2021 5:00:00 PM,4/20/2021 1:00:00 PM,3,KEYSTONE230 KV  KEY-SHE,KEYSTONE230 KV  KEY-SHE,L500.Cabot-Keystone.5002
