datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,duration,day_ahead_congestion_event,monitored_facility,contingency_facility
4/21/2022 2:00:00 AM,4/20/2022 10:00:00 PM,4/21/2022 3:00:00 AM,4/20/2022 11:00:00 PM,1,BLMNTDOM230 KV  201,BLMNTDOM230 KV  201,L500.Brambleton-GooseCreek.558
4/21/2022 2:00:00 AM,4/20/2022 10:00:00 PM,4/21/2022 3:00:00 AM,4/20/2022 11:00:00 PM,1,ROXBURY 115 KV  ROX-SHA,ROXBURY 115 KV  ROX-SHA,L500.Conastone-PeachBottom.5012
4/21/2022 12:00:00 AM,4/20/2022 8:00:00 PM,4/21/2022 2:00:00 AM,4/20/2022 10:00:00 PM,2,COLORA  230 KV  COL-CON2,COLORA  230 KV  COL-CON2,L230.Conowingo-Nottingham-220-03
4/21/2022 12:00:00 AM,4/20/2022 8:00:00 PM,4/21/2022 1:00:00 AM,4/20/2022 9:00:00 PM,1,HOPECREE230 KV  HOP-SIL,HOPECREE230 KV  HOP-SIL,L500.Keeney-RockSprings.5025
4/20/2022 11:00:00 PM,4/20/2022 7:00:00 PM,4/21/2022 2:00:00 AM,4/20/2022 10:00:00 PM,3,NSALISBU69 KV   NSA-PEM,NSALISBU69 KV   NSA-PEM,L138.Loretto-Vienna.13780
4/20/2022 10:00:00 PM,4/20/2022 6:00:00 PM,4/21/2022 3:00:00 AM,4/20/2022 11:00:00 PM,5,ELIMA   138 KV  ELI-HAV1,ELIMA   138 KV  ELI-HAV1,L765.Marysville-Sorenson
4/20/2022 10:00:00 PM,4/20/2022 6:00:00 PM,4/21/2022 4:00:00 AM,4/21/2022 12:00:00 AM,6,MARDELA 69 KV   MAR-VIE,MARDELA 69 KV   MAR-VIE,L138.Loretto-Vienna.13780
4/20/2022 9:00:00 PM,4/20/2022 5:00:00 PM,4/21/2022 4:00:00 AM,4/21/2022 12:00:00 AM,7,94 HAURD-11323    11323     A  138 KV,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJunction.15502
4/20/2022 9:00:00 PM,4/20/2022 5:00:00 PM,4/21/2022 2:00:00 AM,4/20/2022 10:00:00 PM,5,BRAMBLET230 KV  BRA-EVRG,BRAMBLET230 KV  BRA-EVRG,L230.Brambleton-PolandRoad.2183
4/20/2022 9:00:00 PM,4/20/2022 5:00:00 PM,4/21/2022 4:00:00 AM,4/21/2022 12:00:00 AM,7,Chicago-Praxair3 138 kV l/o Wilton Center-Dumont 765 kV,Chicago-Praxair3 138 kV l/o Wilton Center-Dumont 765 kV,L765.Dumont-WiltonCenter.11215
4/20/2022 8:00:00 PM,4/20/2022 4:00:00 PM,4/20/2022 9:00:00 PM,4/20/2022 5:00:00 PM,1,BOSSERMN138 KV  BOS-BNI2,BOSSERMN138 KV  BOS-BNI2,Schahfer-Burr Oak 345
4/20/2022 8:00:00 PM,4/20/2022 4:00:00 PM,4/20/2022 10:00:00 PM,4/20/2022 6:00:00 PM,2,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/20/2022 7:00:00 PM,4/20/2022 3:00:00 PM,4/20/2022 8:00:00 PM,4/20/2022 4:00:00 PM,1,23 COLLI345 KV  TR92CT-S,23 COLLI345 KV  TR92CT-S,L765.Collins - Plano.2315
4/20/2022 6:00:00 PM,4/20/2022 2:00:00 PM,4/20/2022 7:00:00 PM,4/20/2022 3:00:00 PM,1,NEWCARLI138 KV  NEW-NWN2,NEWCARLI138 KV  NEW-NWN2,ACTUAL
4/20/2022 4:00:00 PM,4/20/2022 12:00:00 PM,4/20/2022 6:00:00 PM,4/20/2022 2:00:00 PM,2,23 COLLI345 KV  TR92CT-S,23 COLLI345 KV  TR92CT-S,L765.Collins - Plano.2315
4/20/2022 3:00:00 PM,4/20/2022 11:00:00 AM,4/20/2022 5:00:00 PM,4/20/2022 1:00:00 PM,2,08ASHLD7138 KV  ASH-OAK1,08ASHLD7138 KV  ASH-OAK1,ACTUAL
4/20/2022 3:00:00 PM,4/20/2022 11:00:00 AM,4/20/2022 9:00:00 PM,4/20/2022 5:00:00 PM,6,94 HAURD138 KV  96101,94 HAURD138 KV  96101,ACTUAL
4/20/2022 3:00:00 PM,4/20/2022 11:00:00 AM,4/20/2022 6:00:00 PM,4/20/2022 2:00:00 PM,3,COLORA  230 KV  COL-CON2,COLORA  230 KV  COL-CON2,L230.Conowingo-Nottingham-220-03
4/20/2022 3:00:00 PM,4/20/2022 11:00:00 AM,4/20/2022 4:00:00 PM,4/20/2022 12:00:00 PM,1,MOUN UGI230 KV  3,MOUN UGI230 KV  3,230/66.Mountain.T2 (Sctnlz)
